Name,Server,EDBFilePath,LogFolderPath,DeletedItemRetention,GC,OAB,RetainDeletedItemsUntilBackup,IndexEnabled,CircularLoggingEnabled,ProhibitSendReceiveQuota,ProhibitSendQuota,IssueWarningQuota,AllowFileRestore,BackgroundDatabaseMaintenance,IsExcludedFromProvisioning,IsSuspendedFromProvisioning,MailboxRetention,MountAtStartup,EventHistoryRetentionPeriod,AutoDagExcludeFromMonitoring,CalendarLoggingQuota,IsExcludedFromInitialProvisioning,DataMoveReplicationConstraint,RecoverableItemsQuota,RecoverableItemsWarningQuota
"VersionNumber","2.1","7.6",,,,,,,,,,,,,,,,,,,,,,,""
"DAG1-DB001","msx-tp01","C:\ExchangeDatabases\DAG1-DB001\DAG1-DB001.db\DAG1-DB001.edb","C:\ExchangeDatabases\DAG1-DB001\DAG1-DB001.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB002","msx-tp02","C:\ExchangeDatabases\DAG1-DB002\DAG1-DB002.db\DAG1-DB002.edb","C:\ExchangeDatabases\DAG1-DB002\DAG1-DB002.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB003","msx-tp03","C:\ExchangeDatabases\DAG1-DB003\DAG1-DB003.db\DAG1-DB003.edb","C:\ExchangeDatabases\DAG1-DB003\DAG1-DB003.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB004","msx-tp04","C:\ExchangeDatabases\DAG1-DB004\DAG1-DB004.db\DAG1-DB004.edb","C:\ExchangeDatabases\DAG1-DB004\DAG1-DB004.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB005","msx-tp05","C:\ExchangeDatabases\DAG1-DB005\DAG1-DB005.db\DAG1-DB005.edb","C:\ExchangeDatabases\DAG1-DB005\DAG1-DB005.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB006","msx-tp06","C:\ExchangeDatabases\DAG1-DB006\DAG1-DB006.db\DAG1-DB006.edb","C:\ExchangeDatabases\DAG1-DB006\DAG1-DB006.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB007","msx-mh01","C:\ExchangeDatabases\DAG1-DB007\DAG1-DB007.db\DAG1-DB007.edb","C:\ExchangeDatabases\DAG1-DB007\DAG1-DB007.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB008","msx-mh02","C:\ExchangeDatabases\DAG1-DB008\DAG1-DB008.db\DAG1-DB008.edb","C:\ExchangeDatabases\DAG1-DB008\DAG1-DB008.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB009","msx-mh03","C:\ExchangeDatabases\DAG1-DB009\DAG1-DB009.db\DAG1-DB009.edb","C:\ExchangeDatabases\DAG1-DB009\DAG1-DB009.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
